,name,id,price,promo_price,brand,url
56,"Delicate сухой корм для котят при чувствительном пищеварении с индейкой, 1,5 кг",1017249,1819,1819,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Delicate_suhoy_korm_dlya_kotyat_chuvstvitelnoe_pishchevarenie_indeyka.html?offer=42948
57,"Kitten Delicate Корм сухой для котят с чувствительным пищеварением, с индейкой, 1,5 кг",1054520,1029,1029,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-kotyat-chuvstvitelnoe-pishchevarenie-s-indeykoy.html?offer=148181
58,"N&D PRIME сухой корм для кошек, с кабаном и яблоком, 1,5кг",1043138,2880,2880,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-wild-boar-apple-adult-300g.html?offer=119891
59,Корм сухой для стерилизованных кошек курица,1050590,1259,1259,Brit,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-kurica.html?offer=137908
60,"36 Adult Корм сухой для кошек породы Британская короткошерстная, 2 кг",1002777,2555,2555,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_34_Adult_suhoy_korm_dlya_koshek_porody_Britanskaya_korotkosherstnaya.html?offer=43492
61,"Корм сухой для кошек Ньютрид Сатаети Бэлэнс, 1,5 кг",1030526,1963,1963,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-royal-kanin-dlya-koshek-nyutrid-sataeti-belens-pak-400-g.html?offer=86941
62,"Delicate сухой корм для взрослых кошек при чувствительном пищеварении с ягненком, 1,5 кг",1026169,1869,1869,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-d-koshek-chuvstvitelnoe-pishchevarenie-yagnenok.html?offer=75559
63,"Science Plan Сухой корм для взрослых стерилизованных кошек старше 7 лет, с курицей, 1,5 кг",1000110,1888,1888,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotovsterilizovannyh_koshek_starshe_7et.html?offer=46718
64,"Sensible 33 сухой корм для кошек с чувствительной пищеварительной системой в возрасте с 1 года до 7 лет, 2 кг",1000714,2119,2119,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sensible_33_suhoy_korm_dlya_koshek_pri_chuvstvitelnom_pishchevarenii.html?offer=45709
65,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с кроликом, 3 кг",1004625,3299,3299,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html?offer=45703
66,"Vet Life Renal диетический сухой корм для кошек при почечной недостаточности, с курицей, 2кг",1043179,3595,3595,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-renal-400-gr.html?offer=120006
